Text;Randomized Trial? (Predicted);Multicentric (Predicted);Sample Size (planned) reported? (Predicted);Sample Size (planned) (Predicted);Follow-up duration (median, months) reported? (Predicted);Follow-up duration (median, months) (Predicted);Tumor Type - NSCLC? (Predicted);Tumor Type - Prostate Cancer? (Predicted);Tumor Type - HNSCC? (Predicted);Tumor Type - Glioblastoma? (Predicted);Tumor Stage at Inclusion - Localized? (Predicted);Tumor Stage at Incluion - Locally Advanced? (Predicted);Tumor Stage at Inclusion - Oligometastatic? (Predicted);Tumor Stage at Inclusion - Metastatic? (Predicted);Tumor Stage at Inclusion - Recurrent? (Predicted);Cancer Histology-specific? (Predicted);Number of Patients reported? (Predicted);Number of Patients (Predicted);Inclusion of Older Adults (>70) (Predicted);Biomarker-selected population? (Predicted);Radiotherapy Type - EBRT (Predicted);Radiotherapy Type - SBRT (Predicted);Radiotherapy Type - IMRT (Predicted);Radiotherapy Type - Protontherapy (Predicted);Radiotherapy Type - Brachytherapy (Predicted);Radiotherapy Type - MR-guided Radiotherapy (Predicted);Hypofractionation used? (Predicted);Radiation Dose Escalation? (Predicted);Dose per Fraction (Gy) reported? (Predicted);Dose per Fraction (Gy) (Predicted);Total Dose (Gy) reported? (Predicted);Total Dose (Gy) (Predicted);Image Guidance Used - MRI? (Predicted);Image Guidance Used - PET? (Predicted);Concurrent Systemic Therapy? (Predicted);Systemic Therapy used - Chemotherapy? (Predicted);Systemic Therapy used - Immunotherapy? (Predicted);Systemic Therapy used - Targeted Therapy? (Predicted);Systemic Therapy used - Hormonal Therapy? (Predicted);Primary Endpoint Type? (Predicted);Hazard Ratio reported? (Predicted);Hazard Ratio (Predicted);Biomarker Endpoint Included (Predicted);Use of Advanced Imaging? (Predicted);Use of Omics? (Predicted);New Technology Introduced? (Predicted);New Technology Validated? (Predicted)
"Phase II Study Evaluating Radiotherapy-chemotherapy and Cetuximab in Patients With Histologically Proven Squamous Cell Carcinoma of the Oral Cavity, Oropharynx, Hypopharynx, or Larynx and With a Poor Prognosis After Complete Surgical ResectionRATIONALE: Drugs used in chemotherapy, such as cisplatin, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Radiation therapy uses high-energy x-rays to kill tumor cells. Monoclonal antibodies, such as cetuximab, can block tumor growth in different ways. Some block the ability of tumor cells to grow and spread. Others find tumor cells and help kill them or carry tumor-killing substances to them. Giving chemotherapy together with radiation therapy and cetuximab may kill more tumor cells.

PURPOSE: This phase II trial is studying how well chemotherapy given together with radiation therapy and cetuximab works in treating patients with head and neck cancer.OBJECTIVES:

Primary

* Evaluate disease-free survival at 2 years in patients with poor prognosis squamous cell carcinoma of the head and neck treated with chemoradiotherapy and cetuximab after complete surgical resection.

Secondary

* Evaluate quality of life.
* Evaluate tolerability.
* Evaluate overall survival.
* Analyze germinal polymorphisms.

OUTLINE: This is a multicenter study.

Patients receive cetuximab IV on day 1. Treatment with cetuximab repeats every week for up to 8 courses. Patients also receive cisplatin IV on day 8. Treatment with cisplatin repeats every 3 weeks for up to 3 courses. Patients undergo concurrent radiotherapy 5 times a week for 7 weeks beginning on day 8.

After completion of study treatment, patients are followed at 1 month and then every 3 months for 2 years.";FALSE;TRUE;FALSE;;TRUE;24;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;DFS;FALSE;;TRUE;FALSE;FALSE;FALSE;FALSE
A Phase II Trial of Hypofractionated Radiotherapy (16 Gy in 2 Fractions With an Interval of One Week) for the Palliation of Complicated Bone Metastases in Patients With Poor Performance StatusLiterature has shown that hypofractionated radiotherapy regimens are efficacious in patients with complicated bone metastases and have a low potential for severe treatment-related toxicities. There is a clear need for hypofractionated schedules in the complicated bone metastases population, especially when considering the overarching aim of palliative radiotherapy and the clinical features of this patient population. As well, current research examining hypofractionated approaches in bone metastases patients with impending or pathologic fractures, neuropathic pain or accompanying soft tissue masses has been markedly scarce.In response the the already commented on, the purpose of this one armed, phase II trial is to determine the efficacy and safety profile of a hypofractionated radiotherapy regimen, 16 Gy in 2 fractions with an interval of one week, for the palliation of complicated bone metastases in patients with poor performance status.;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;8;TRUE;16;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Tox;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
A Phase II Study Combining PEGPH20 With Concurrent Gemcitabine and Radiotherapy in Patients With Localized, Unresectable Pancreatic AdenocarcinomaThis is a single arm phase II trial assessing the potential activity of combination PEGPH20 plus Gemcitabine with radiotherapy in ten patients with localized, unresectable pancreatic adenocarcinoma.This is a pilot trial evaluating the safety and potential efficacy of PEGylated Recombinant Human Hyaluronidase (PEGPH20) plus concurrent Gemcitabine and radiotherapy. Recognizing that PEGPH20 has not been previously delivered with radiotherapy but is unlikely to contribute to increased toxicities, this trial will have an abbreviated sequential dose escalation schema for the first three patients. PEGPH20 will be given twice per week for the first 28 days and then weekly for another 2 weeks during radiotherapy. Gemcitabine will be delivered weekly at the first day of radiotherapy and continued weekly, per published literature. Patients will remain on study for three months. The duration of active treatment with PEGPH20 and Gemcitabine plus radiotherapy will continue for 5-6 weeks. Efficacy outcome will occur 6-8 weeks after the completion of radiotherapy.;FALSE;FALSE;TRUE;10;TRUE;3;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;10;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Other;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
"Whole-Brain Radiotherapy (WBRT) vs. WBRT and Integrated Boost Using Helical Tomotherapy for Patients With Multiple Brain Metastases - a Multicentre Randomized Phase II TrialBrain metastases occur in 20-40% of patients with primary extracerebral tumors. Despite important advances in therapy of malignant solid tumors and treatment of 1-3 brain metastases, multiple brain metastases continue to present a significant problem in attempting to prevent progression of disease and limit morbidity associated with therapy. The majority of patients who develop brain metastases have a short survival, effective palliation being transient. The median survival after diagnosis is as low as 3-6 months. However, there is some evidence that selected patients survive prolonged periods with vigorous therapeutic approach.

Specific therapeutic options are surgery, chemotherapy, conventional fractionated whole-brain radiotherapy (WBRT) and radiosurgery. Radiosurgery allows delivering of a single high dose fraction of radiation to targets of 3-3.5 cm maximum diameter. In patients with newly diagnosed brain metastases, a rapid decrease of symptoms, local tumor response rate of 73-90% and a median survival of 7-12 month have been reported.

WBRT alone is the treatment of choice for patients with multiple brain metastases, and for patients with single brain metastases not amenable to surgery or radiosurgery. Median survival after WBRT alone is 3-6 months.

WBRT and radiosurgery boost have been shown to improve survival in RPA class I patients and in patients with favorable histological status and squamous cell or non-small cell lung tumors. All randomized trials showed improved local control with the addition of radiosurgery to WBRT (Andrews, 2004).

WBRT in conjunction with radiosurgery improves local control and reduces the risk of new distant brain metastases, but most studies support that combined radiosurgery and WBRT does not improve the overall survival expect for patients without evidence of extracranial disease.

Helical Tomotherapy (HT) allows as a sole modality a new treatment option: Using HT, the advantage of applying a highly conformal boost dose to the metastases and WBRT can be combined in one treatment session. Therefore, it allows applying a high dose to multiple brain metastases in the sense of an integrated boost. The focus of this study is to investigate the efficacy and safety of WBRT with an integrated boost using this new treatment modality in comparison to the effects of conventional WBRT alone.

The principal objective of the trial is to assess the therapeutic efficacy of WBRT as compared to WBRT combined with integrated boost with HT delivered to patients with 2-10 brain metastases of solid tumors. The secondary objective is to evaluate the safety of WBRT as opposed to WBRT combined with integrated boost as delivered by HT in patients with 2-10 brain metastases.";TRUE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Other;FALSE;;FALSE;TRUE;FALSE;TRUE;FALSE
"Propylene Glycol-Free Melphalan HCl (EVOMELAÂ®) in Combination With Fludarabine and Total Body Irradiation Based Reduced Intensity Conditioning for Haploidentical TransplantationThis is an open-label, single-arm, phase II study to determine the safety of propylene glycol-free melphalan HCl (EVOMELAÂ®), in combination with fludarabine and total-body irradiation-based reduced-intensity conditioning for haploidentical transplantation. In addition, the study evaluates the one-year progression-free survival of patients undergoing this treatment.OVERVIEW:

Elderly and infirm patients with hematological malignancies often cannot undergo allogeneic hematopoietic cell transplantation (HCT) because of high-toxicity rates and nonrelapse mortality (NRM) associated with higher-intensity conditioning allografts.

Reduced-intensity conditioning (RIC) transplantation has emerged as an attractive alternative for these populations.

FLUDARABINE/MELPHALAN. In RIC, fludarabine is often used as the lymphocyte-depleting component to facilitate donor-cell engraftment. This drug can be given once daily because of its plasma half-life. M.D. Anderson pioneered the use of fludarabine melphalan (FLU/MEL) conditioning, which has since gained wide usage. (1) Melphalan is convenient, has broad antitumor activity in hematologic malignancies and has immunosuppressive effects. The Flu/Mel conditioning regimen can provide long-term disease control, especially in the subset of patients with chemo sensitive disease. (1) TOTAL-BODY IRRADIATION. In a recent study, total-body irradiation (200 cGy) was used with flu/mel for advanced lymphoma treated with HCT. With a median follow-up time close to two years, the survival of these mostly advanced, relapsed/refractory patients was very encouraging with overall survival of 54% and progression-free survival of 54% for the entire group. (2) Treatment-related mortality was low at day 100 (9.1%) and two years (19%) after transplantation, with stable engraftment achieved in the great majority of patients.

PROPYLENE GLYCOL-FREE MELPHALAN HCL (EVOMELAÂ®). In theory, intensifying the dose of melphalan in flu/mel conditioning could provide better disease control post HCT, allowing more time for curative graft-versus-leukemia effects to emerge. The use of the commercial formulation of melphalan (AlkeranÂ®) proved somewhat problematic, however, because it must be reconstituted with propylene glycol, a substance that has been associated with toxic side effects. The substitution of CaptisolÂ® in propylene glycol-free melphalan HCl (EVOMELAÂ®) for Injection (Spectrum Pharmaceuticals, Inc.) for the excipients found in AlkeranÂ®, directly overcomes the formulation limitations noted with AlkeranÂ®.

STUDY RATIONALE. The preliminary data suggest that the substitution of CaptisolÂ® in EVOMELAÂ® for the excipients found in AlkeranÂ® directly overcomes the formulation limitations and provides a potentially safer melphalan formulation for administration at higher doses used in HCT conditioning regimens.

Based on these observations, we now propose a phase II study of a RIC regimen consisting of EVOMELAÂ® in combination with fludarabine and total-body irradiation for patients undergoing haplo-HCT. The study will investigate the safety and tolerability of this conditioning approach. While the FDA indication for EVOMELAÂ® is for myeloablative conditioning prior to autologous HCT in patients with multiple myeloma, we anticipate our study will provide critical preliminary data to explore this formulation in allogeneic HCT conditioning.";FALSE;FALSE;FALSE;;TRUE;12;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Tox;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
"Multicentre, Phase I/II Study of Fractionated Stereotactic Radiotherapy for Medically Inoperable Early Stage Non-Small Cell Lung Cancer (NSCLC)A new type of treatment called stereotactic radiotherapy has recently been developed in hopes of improving the success of the treatment and improving the convenience to patients, while reducing the side effects. This study is developing stereotactic radiotherapy as a state-of-the-art treatment for lung cancer patients.OBJECTIVES:

Primary Objectives

* To determine the efficacy of hypofractionated, image guided radiotherapy in treating patients with lung tumours, with the primary outcome being local control at one year.
* To determine the toxicity of high dose, small field,hypofractionated radiotherapy to the lung, based on the RTOG and CTCAE scales.";FALSE;FALSE;FALSE;;TRUE;12;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;LC;FALSE;;FALSE;TRUE;FALSE;FALSE;TRUE
"A Phase 1 Study of Hypofractionated Stereotactic Radiotherapy and Concurrent HIV Protease Inhibitor Nelfinavir as Part of a Neoadjuvant Regimen in Patients With Locally Advanced Pancreatic CancerThis phase I trial is studying the side effects and best dose of stereotactic radiation therapy and nelfinavir mesylate when given together with gemcitabine hydrochloride, leucovorin calcium, and fluorouracil in treating patients with locally advanced pancreatic cancer. Stereotactic radiation therapy may be able to send x-rays directly to the tumor and cause less damage to normal tissue. Drugs, such as nelfinavir mesylate, may make tumor cells more sensitive to radiation therapy. Drugs used in chemotherapy, such as gemcitabine hydrochloride, leucovorin calcium, and fluorouracil, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Giving stereotactic radiation therapy and nelfinavir mesylate together with combination chemotherapy may kill more tumor cells.PRIMARY OBJECTIVES:

I. To establish the safety, dose-limiting toxicities and maximally tolerated dose of hypofractionated stereotactic radiotherapy concurrently with nelfinavir in patients with locally advanced pancreatic cancer given as part of a neoadjuvant chemoradiation therapy regimen.

SECONDARY OBJECTIVES:

I. To evaluate the surgical complete resection rate. II. To evaluate the pathological response. III. To evaluate tumor response on computed tomography (CT)/magnetic resonance imaging (MRI).

IV. To evaluate the correlation between the radiologic response and pathologic response.

TERTIARY OBJECTIVES:

I. To measure phospho-AKT expression in pancreatic tumor tissue prior to and following the neoadjuvant chemo-radiation program. (Correlative) II. To measure nelfinavir pharmacokinetics at steady-state. (Correlative) III. To measure the pharmacogenomic status of CYP2C19\*2 (G681A) in the study population. (Correlative)

OUTLINE: This is a dose-escalation study of stereotactic radiotherapy (SRT) and concurrent nelfinavir mesylate.

NEOADJUVANT THERAPY: Patients receive gemcitabine hydrochloride intravenously (IV) over 30 minutes, leucovorin calcium IV over 30 minutes, and fluorouracil IV continuously over 24 hours on days 1 and 8. Treatment repeats every 3 weeks for up to 3 courses in the absence of disease progression or unacceptable toxicity. Patients then receive nelfinavir mesylate orally (PO) twice daily (BID) beginning in week 9 and continuing until the completion of SRT or until 14 days after the completion of SRT. Patients undergo concurrent SRT once daily for 5 days in week 11.

SURGERY AND ADJUVANT CHEMOTHERAPY: Approximately 2-3 weeks after completion of SRT, patients undergo restaging to evaluate disease response. Patients with resectable or potentially resectable disease and no metastasis undergo definitive surgery 2-3 weeks later. Approximately 1 month after surgery, these patients receive three additional courses of gemcitabine hydrochloride, leucovorin calcium, and fluorouracil as above. Patients with unresectable disease that is stable or responsive at the time of surgical exploration may resume treatment with gemcitabine hydrochloride, leucovorin calcium, and fluorouracil as above in the absence of disease progression or unacceptable toxicity. Patients with metastatic disease at the time of restaging are removed from the study.

After completion of study treatment, patients are followed every 3 months for 1 year, every 4 months for 1 year, and then every 6 months thereafter.";FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Tox;FALSE;;TRUE;TRUE;FALSE;FALSE;FALSE
"A Phase III Trial of Adjuvant Chemotherapy Following Chemoradiation as Primary Treatment for Locally Advanced Cervical Cancer Compared to Chemoradiation Alone: The OUTBACK TrialThis randomized phase III trial studies how well giving cisplatin and radiation therapy together with or without carboplatin and paclitaxel works in treating patients with cervical cancer has spread from where it started to nearby tissue or lymph nodes. Drugs used in chemotherapy, such as cisplatin, carboplatin, and paclitaxel, work in different ways to stop the growth of \[cancer/tumor\] cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. External radiation therapy uses high-energy x rays to kill tumor cells. Internal radiation uses radioactive material placed directly into or near a tumor to kill tumor cells. It is not yet known whether giving cisplatin and external and internal radiation therapy together with carboplatin and paclitaxel kills more tumor cells.PRIMARY OBJECTIVES:

I. To determine if the addition of adjuvant chemotherapy to standard cisplatin-based chemoradiation improves overall survival.

SECONDARY OBJECTIVES:

I. To determine the progression-free survival rates. II. To determine acute and long-term toxicities. III. To determine patterns of disease recurrence. IV. To determine the association between radiation protocol compliance and outcomes.

V. To determine patient quality of life, including psycho-sexual health.

TERTIARY OBJECTIVES:

I. To determine the association between the results of a follow-up positron emission tomography (PET) scan performed 4-6 months post completion of chemoradiation and outcomes for all patients in the trial.

II. To determine the biological predictors of patients' outcomes based on translational laboratory studies of blood and tissue specimens.

OUTLINE: Patients are randomized to 1 of 2 treatment arms.

ARM I: Patients receive cisplatin intravenously (IV) over 60-90 minutes on days 1, 8, 15, 22, and 29. Patients also undergo external-beam radiation therapy once daily, 5 days a week, for approximately 5 weeks. Patients then undergo high-dose rate, pulsed-dose rate, or low-dose rate intracavitary brachytherapy.

ARM II: Patients receive cisplatin and undergo external-beam radiation and brachytherapy as in arm I. Beginning 4 weeks later, patients also receive adjuvant chemotherapy comprising paclitaxel IV over 3 hours and carboplatin IV over 1 hour on day 1. Treatment repeats every 21 days for 4 courses in the absence of disease progression or unacceptable toxicity.

Patients may undergo baseline tumor biopsy and blood collection for future correlative studies.

Patients complete the European Organization for Research and Treatment of Cancer (EORTC) Core questionnaire (QLQ-C30), the EORTC cervix cancer module (CX24), the ovarian cancer module (OV28), and the Sexual function-Vaginal Changes Questionnaire (SVQ) questionnaires at baseline, during, and after completion of study treatment.

After completion of study treatment, patients are followed up every 3 months for 2 years and then every 6 months for 3 years.";TRUE;FALSE;FALSE;;TRUE;60;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;OS;FALSE;;TRUE;TRUE;FALSE;FALSE;FALSE
"Nab-Paclitaxel-based Re-induction Chemotherapy Followed by Response-stratified Chemoradiotherapy in Patients With Previously Treated Squamous Cell Carcinoma of the Head and Neck.This phase I trial studies the side effects and best dose of paclitaxel albumin-stabilized nanoparticle formulation when given together with carboplatin followed by chemoradiation in treating patients with recurrent head and neck cancer. Drugs used in chemotherapy, such as paclitaxel albumin-stabilized nanoparticle formulation, carboplatin, fluorouracil, and hydroxyurea, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Radiation therapy uses high-energy x-rays to kill tumor cells. Giving paclitaxel albumin-stabilized nanoparticle formulation followed by chemoradiation therapy may be an effective treatment for head and neck cancer.PRIMARY OBJECTIVES:

I. Determine the maximum tolerated dose (MTD) and dose limiting toxicity (DLT) of nab-paclitaxel (paclitaxel albumin-stabilized nanoparticle formulation) when given in combination with FHX (5 fluorouracil \[fluorouracil\], hydroxyurea and twice daily radiation, in good induction responders) and of nab-paclitaxel added to hypofractionated radiotherapy for poor responders.

II. To explore the feasibility of a more rapid palliative chemoradiotherapy approach inpatients with refractory disease as demonstrated by failure to respond to initial chemotherapy.

III. To explore the role of induction chemotherapy as a predictive tool for definitive head and neck cancer management of previously treated patients.

SECONDARY OBJECTIVES:

I. Progression-free survival (PFS) (time to disease progression or death from any cause) on both study arms.

II. Overall survival and response rates in both arms.

TERTIARY OBJECTIVES:

I. To determine the correlation of secreted protein, acidic, cysteine-rich (SPARC) expression in head and neck cancer and response to therapy.

OUTLINE: This is a dose-escalation study of paclitaxel albumin-stabilized nanoparticle formulation.

RE-INDUCTION THERAPY (WEEKS 1-6): Patients receive paclitaxel albumin-stabilized nanoparticle formulation intravenously (IV) over 30 minutes on days 1 and 8 and carboplatin IV over 30 minutes on day 1. Courses repeat every 21 days for 2 courses in the absence of disease progression or unacceptable toxicity. Patients achieving good response undergo surgical resection and proceed to chemoradiation within 4-6 weeks.

AFHX REGIMEN: Patients achieving response to re-induction therapy receive hydroxyurea orally (PO) every 12 hours for 6 days (11 doses) beginning on day 0, fluorouracil IV continuously over 120 hours beginning on day 0, and paclitaxel albumin-stabilized nanoparticle formulation IV over 30 minutes on day 1. Patients also undergo radiation therapy twice daily (BID) on days 1-5. Courses repeat every 14 days for 5 weeks in the absence of disease progression or unacceptable toxicity.

PACLITAXEL + RADIATION (AXX) REGIMEN: Patients not achieving response to re-induction therapy receive paclitaxel albumin-stabilized nanoparticle formulation IV and undergo hypofractionated radiation therapy on day 1. Courses repeat every 7 days for 5 weeks in the absence of disease progression or unacceptable toxicity.

After completion of study treatment, patients are followed up monthly for 3 months, every 3 months for 2 years, every 6 months for 2 years, and then yearly thereafter.";FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Tox;FALSE;;TRUE;FALSE;FALSE;FALSE;FALSE
"A Randomized Phase II Study of Concurrent Intensity Modulated Radiation Therapy (IMRT), Paclitaxel and Pazopanib (NSC 737754)/Placebo, for the Treatment of Anaplastic Thyroid CancerThis randomized phase II trial studies the side effects and how well intensity-modulated radiation therapy (IMRT) and paclitaxel with or without pazopanib hydrochloride works in treating patients with anaplastic thyroid cancer. Specialized radiation therapy that delivers a high dose of radiation directly to the tumor may kill more tumor cells and cause less damage to normal tissue. Drugs used in chemotherapy, such as paclitaxel, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Pazopanib hydrochloride may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. It is not yet known whether radiation therapy and paclitaxel are more effective when given with pazopanib hydrochloride in treating thyroid cancer.PRIMARY OBJECTIVES:

I. To evaluate the safety of IMRT, paclitaxel, and pazopanib (pazopanib hydrochloride) suspension. (Run-in component) II. To evaluate and compare overall survival at 1 year from study registration. (Phase II component)

SECONDARY OBJECTIVES:

I. To evaluate local-regional control at 6 and 12 months. (Phase II component) II. To evaluate the rate of grade 4 (Common Terminology Criteria for Adverse Events version 4.0 \[CTCAE, v. 4.0\]) hemorrhage, grade 4 febrile neutropenia, or any grade 5 adverse event assessed to be definitely, probably, or possibly related to the induction or concurrent treatment components of the protocol regimen. (Phase II component) III. To evaluate the rates of other adverse events (CTCAE, v. 4.0) assessed to be definitely, probably, or possibly related to the induction or concurrent treatment components of the protocol regimen. (Phase II component) IV. To evaluate the rate of treatment discontinuation due to toxicity during the induction or concurrent treatment components of the protocol regimen. (Phase II component) V. To evaluate response (as per Response Evaluation Criteria in Solid Tumors \[RECIST\]) of the primary site following the treatment component in subjects with measurable disease prior to chemoradiation. (Phase II component)

OUTLINE:

RUN-IN COMPONENT: Patients receive paclitaxel intravenously (IV) over 1 hour once weekly and pazopanib hydrochloride orally (PO) once daily (QD) for 2-3 weeks. Patients then receive concurrent paclitaxel IV over 1 hour once weekly and pazopanib hydrochloride PO QD for 6-7 weeks (or until radiation treatment is completed) and intensity-modulated radiotherapy (IMRT) 5 days per week for 6.5 weeks (total of 66 Gy in 33 fractions). Beginning 25-31 days after the completion of IMRT, patients receive paclitaxel IV over 1 hour once weekly and pazopanib hydrochloride PO QD. Treatment repeats every 3 weeks for 4 cycles (for patients with no measurable disease) or continues in the absence of disease progression or unacceptable toxicity (for patients with measurable disease).

RANDOMIZED PHASE II COMPONENT: Patients are randomized to 1 of 2 treatment arms.

ARM I: Patients receive paclitaxel IV over 1 hour once weekly and pazopanib hydrochloride PO QD for 2-3 weeks. Patients then receive concurrent paclitaxel IV over 1 hour once weekly and pazopanib hydrochloride PO QD for 6-7 weeks (or until radiation treatment is completed) and IMRT 5 days per week for 6.5 weeks (total of 66 Gy in 33 fractions). Beginning 25-31 days after the completion of IMRT, patients receive paclitaxel IV over 1 hour once weekly and pazopanib hydrochloride PO QD. Treatment repeats every 3 weeks for 4 cycles (for patients with no measurable disease) or continues in the absence of disease progression or unacceptable toxicity (for patients with measurable disease).

ARM II: Patients receive paclitaxel IV over 1 hour once weekly and placebo PO QD for 2-3 weeks. Patients then receive concurrent paclitaxel IV over 1 hour once weekly and placebo PO QD for 6-7 weeks (or until radiation treatment is completed) and IMRT 5 days per week for 6.5 weeks (total of 66 Gy in 33 fractions). Beginning 25-31 days after the completion of IMRT, patients receive paclitaxel IV over 1 hour once weekly and placebo PO QD. Treatment repeats every 3 weeks for 4 cycles (for patients with no measurable disease) or continues in the absence of disease progression or unacceptable toxicity (for patients with measurable disease).

After completion of study treatment, patients are followed up every 3 months for 2 years, every 6 months for 1 year, and then annually thereafter.";TRUE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;2;TRUE;66;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;OS;FALSE;;TRUE;FALSE;FALSE;FALSE;FALSE
